input,domain,instagram,is_shopify,store_name,product_count,founder_name,email,about_url,is_us,us_reason,solo_score,solo_reason,score,status,checked_at,phone,linkedin,facebook,tiktok,contact_form_url,contact_url,compliment,source
"crushedtonic.com","crushedtonic.com","",1,"CRUSHED TONIC",25,"Sally","partnerships@crushedtonic.com","https://crushedtonic.com/pages/about-us",1,"meta currency USD (+20)",15,"singular ratio 0.12 too low (+0); maker words ×1 (+5); single founder named, no co-founder (+10)",61,"done","2026-06-14T13:06:23.525Z","","","","","https://crushedtonic.com/","","The founder story on your about page is genuinely refreshing — making each piece yourself is rare.","plus.html"
"biatch.com","biatch.com","https://www.instagram.com/biatchtequila/",1,"Biatch Tequila",26,"Women For","Info@BIATCHTequila.com","https://biatch.com/pages/about-us",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",15,"singular ratio 0.00 too low (+0); maker words ×1 (+5); single founder named, no co-founder (+10)",61,"done","2026-06-14T13:06:30.322Z","+12828895227","","https://www.facebook.com/biatchtequila/","https://www.tiktok.com/@biatchtequila","https://biatch.com/","https://biatch.com/pages/contact","Your handcrafted approach to making products really stands out — that kind of care is rare to see.","plus.html"
"apercueyewear.com","apercueyewear.com","",1,"APERÇU Eyewear",76,"Kristen Aronsson","hello@apercueyewear.com","https://apercueyewear.com/pages/about",1,"meta currency USD (+20)",15,"singular ratio 0.03 too low (+0); maker words ×1 (+5); single founder named, no co-founder (+10)",56,"done","2026-06-14T13:06:07.852Z","","","https://www.facebook.com/settings/?tab=ads","","https://apercueyewear.com/","","Your handmade approach to making products really stands out — that kind of care is rare to see.","plus.html"
"besamecosmetics.com","besamecosmetics.com","https://www.instagram.com/Besamecosmetics/",1,"Besame Cosmetics",74,"FROM OUR","info@besamecosmetics.com","",1,"meta currency USD (+20); US phone format (+8)",15,"singular ratio 0.13 too low (+0); maker words ×1 (+5); single founder named, no co-founder (+10)",56,"done","2026-06-14T13:06:19.057Z","+18185581558","","https://www.facebook.com/BesameCosmetics","https://www.tiktok.com/@besamecosmetics","https://besamecosmetics.com/","https://besamecosmetics.com/pages/contact","The founder story on your about page is genuinely refreshing — making each piece yourself is rare.","plus.html"
"bridgerwatch.com","bridgerwatch.com","https://www.instagram.com/bridgerwatch/",1,"Bridger Watch",4,"hunters who","privacy@bridgerwatch.com","",1,"meta currency USD (+20)",10,"singular ratio 0.08 too low (+0); single founder named, no co-founder (+10)",56,"done","2026-06-14T13:06:33.634Z","+14063412800","","https://www.facebook.com/people/Bridger-Watch/61582075620140/","","https://www.bridgerwatch.com/","https://www.bridgerwatch.com/pages/contact","The founder story on your about page is genuinely refreshing — making each piece yourself is rare.","plus.html"
"gator-guards.com","gator-guards.com","http://instagram.com/gatorguards/",1,"Gator Guards ",6,"","info@gator-guards.com","https://www.gator-guards.com/pages/about-us",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",10,"singular ratio 0.45 0.4–0.6 (+10)",56,"done","2026-06-14T13:07:20.854Z","","","https://www.facebook.com/GatorGuardsTeam/","","https://www.gator-guards.com/","","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"nolanryanbrands.com","nolanryanbrands.com","",1,"Nolan Ryan Brands",1,"OUR","936-436-1622info@nolanryanbrands.com","https://nolanryanbrands.com/pages/about",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",10,"singular ratio 0.00 too low (+0); single founder named, no co-founder (+10)",56,"done","2026-06-14T13:07:28.897Z","+19364361622","https://www.linkedin.com/company/nolan-ryan-brands/","","","https://nolanryanbrands.com/","https://nolanryanbrands.com/pages/contact","The founder story on your about page is genuinely refreshing — making each piece yourself is rare.","plus.html"
"kiwivitality.com","kiwivitality.com","",1,"KiwiVitality",5,"Our","3055customercare@kiwivitality.com","https://kiwivitality.com/pages/about-us",1,"meta currency USD (+20); US phone format (+8)",10,"singular ratio 0.00 too low (+0); single founder named, no co-founder (+10)",56,"done","2026-06-14T13:07:36.230Z","","","https://facebook.com/kiwivitality","","https://kiwivitality.com/","https://kiwivitality.com/pages/contact","The founder story on your about page is genuinely refreshing — making each piece yourself is rare.","plus.html"
"bea10.com","bea10.com","https://www.instagram.com/bea10cosmetics/",1,"Be a 10",13,"Our","info@itsa10haircare.com","https://bea10.com/pages/about",1,"meta currency USD (+20)",10,"singular ratio 0.09 too low (+0); single founder named, no co-founder (+10)",56,"done","2026-06-14T13:08:01.445Z","","","https://www.facebook.com/Be-a-10-Cosmetics-100915258492288","https://www.tiktok.com/@bea10cosmetics","https://bea10.com/","https://bea10.com/pages/contact","The founder story on your about page is genuinely refreshing — making each piece yourself is rare.","plus.html"
"mbiotaelemental.com","mbiotaelemental.com","https://instagram.com/mbiotaelemental",1,"mBIOTA Elemental",4,"Meet Our","contact@mbiotalabs.com","",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",10,"singular ratio 0.00 too low (+0); single founder named, no co-founder (+10)",56,"done","2026-06-14T13:08:05.837Z","+18007207034","","https://www.facebook.com/mbiotaelemental","https://www.tiktok.com/@mbiotaelemental","https://mbiota.com/","","The founder story on your about page is genuinely refreshing — making each piece yourself is rare.","plus.html"
"bethanyspantry.com","bethanyspantry.com","https://www.instagram.com/bethanyspantry/",1,"Bethany's Pantry",120,"Bethany Cameron","info@bethanyspantry.com","https://www.bethanyspantry.com/pages/about",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",15,"singular ratio 0.33 too low (+0); maker words ×1 (+5); single founder named, no co-founder (+10)",53,"done","2026-06-14T13:08:11.928Z","+12062499865","","https://www.facebook.com/bethanyspantry/","https://www.tiktok.com/@lilsipper_official?lang=en","https://www.bethanyspantry.com/","https://www.bethanyspantry.com/pages/contact","The founder story on your about page is genuinely refreshing — making each piece yourself is rare.","plus.html"
"mdnaskin.us","mdnaskin.us","https://www.instagram.com/mdnaskin/",1,"MDNA SKIN",13,"","hello@mdna.com","",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",5,"singular ratio 0.10 too low (+0); maker words ×1 (+5)",51,"done","2026-06-14T13:07:03.826Z","+18882113189","","https://www.facebook.com/mdnaskinofficial/","","https://www.mdnaskin.us/","","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"owlsnestfloristclover.com","owlsnestfloristclover.com","http://instagram.com/shopify",1,"The Owls Nest Florist",6,"","contact_us@owlsnestfloristclover.com","https://owlsnestfloristclover.com/pages/about-us",1,"meta currency USD (+20); US phone format (+8)",5,"singular ratio 0.02 too low (+0); maker words ×1 (+5)",51,"done","2026-06-14T13:07:11.351Z","+18032229466","","https://www.facebook.com/profile.php?id=100063749604898","","https://owlsnestfloristclover.com/","https://owlsnestfloristclover.com/pages/contact","The Owls Nest Florist has a great focused product range that feels very intentional.","plus.html"
"happilygrey.com","happilygrey.com","https://www.instagram.com/happilygrey/?hl=en",1,"Happily Grey",2,"","shop@happilygrey.com","https://happilygrey.com/pages/about-me",1,"meta currency USD (+20)",5,"singular ratio 0.06 too low (+0); maker words ×1 (+5)",51,"done","2026-06-14T13:07:19.352Z","","","https://www.facebook.com/happilygrey","https://www.tiktok.com/@mary_lawless_lee","https://happilygrey.com/","","Happily Grey has a great focused product range that feels very intentional.","plus.html"
"vshredmd.com","vshredmd.com","https://www.instagram.com/vshredmd/",1,"V Shred MD",34,"the team","support@vshred.com","https://vshredmd.com/pages/about",1,"meta currency USD (+20)",10,"singular ratio 0.14 too low (+0); single founder named, no co-founder (+10)",51,"done","2026-06-14T13:08:02.104Z","","","https://www.facebook.com/vshredmd/","https://www.tiktok.com/@vshredmd?lang=en","https://vshredmd.com/","https://vshredmd.com/pages/contact","The founder story on your about page is genuinely refreshing — making each piece yourself is rare.","plus.html"
"overlookcoffeeco.com","overlookcoffeeco.com","https://www.instagram.com/overlookcoffeecompany/",1,"Overlook Coffee Co.",17,"","support@overlookcoffeeco.com","https://overlookcoffeeco.com/pages/about-us",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",5,"singular ratio 0.00 too low (+0); maker words ×1 (+5)",51,"done","2026-06-14T13:08:25.089Z","+16075462100","","https://www.facebook.com/overlookcoffeeco","https://www.tiktok.com/@overlookcoffeeco","https://overlookcoffeeco.com/","https://overlookcoffeeco.com/pages/contact","Your handcrafted approach to making products really stands out — that kind of care is rare to see.","plus.html"
"assouline.com","assouline.com","https://www.instagram.com/assouline/",1,"ASSOULINE",250,"and creative","customerservice@assouline.com","https://www.assouline.com/pages/about",1,"meta currency USD (+20)",10,"singular ratio 0.03 too low (+0); single founder named, no co-founder (+10)",48,"done","2026-06-14T13:05:57.303Z","+11779320054","https://www.linkedin.com/company/assouline/jobs/","https://www.facebook.com/AssoulinePublishing/","","https://www.assouline.com/","https://www.assouline.com/pages/contact-us","The founder story on your about page is genuinely refreshing — making each piece yourself is rare.","plus.html"
"perfectplantmarket.com","perfectplantmarket.com","https://www.instagram.com/perfectplanthempco/?hl=en",1,"Perfect Plant Market",250,"and our","info@perfectplantmarket.com","https://perfectplantmarket.com/pages/about-us",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",10,"singular ratio 0.08 too low (+0); single founder named, no co-founder (+10)",48,"done","2026-06-14T13:06:31.912Z","+16159537679","","https://www.facebook.com/settings/?tab=ads","","https://perfectplantmarket.com/","https://perfectplantmarket.com/pages/contact","The founder story on your about page is genuinely refreshing — making each piece yourself is rare.","plus.html"
"hizoo.co","hizoo.co","https://www.instagram.com/hizooco/",1,"HiZoo",2,"","support@hizoo.co","",1,"meta currency USD (+20)",0,"singular ratio 0.08 too low (+0)",46,"done","2026-06-14T13:06:15.576Z","","","https://www.facebook.com/profile.php?id=61568766761254","","https://hizoo.co/","https://hizoo.co/pages/contact","HiZoo has a great focused product range that feels very intentional.","plus.html"
"pawsionatepet.com","pawsionatepet.com","https://www.instagram.com/pawsionate/",1,"PawsionatePet",4,"","reserved.support@pawsionate.com","https://pawsionatepet.com/pages/about-us",1,"meta currency USD (+20)",0,"singular ratio 0.02 too low (+0)",46,"done","2026-06-14T13:06:40.646Z","+11234567890","","https://www.facebook.com/pawsionatecom","https://www.tiktok.com/@pawsionate.com","https://pawsionatepet.com/","https://pawsionatepet.com/pages/contact","PawsionatePet has a great focused product range that feels very intentional.","plus.html"
